destination,source,balance
Kyrgyzstan,Armenia,3152135
South Korea,Armenia,512336
Kuwait,Armenia,632473
Lebanon,Armenia,503381
Libya,Armenia,909864
Lithuania,Armenia,3278765
Luxembourg,Armenia,1004375
Latvia,Armenia,4391962
Morocco,Armenia,18500
Moldova,Armenia,2343560
Mexico,Armenia,425192
Malta,Armenia,20113
Mongolia,Armenia,1000782
Malaysia,Armenia,426291
Nigeria,Armenia,3202
Netherlands,Armenia,153832442
Norway,Armenia,10894
New Zealand,Armenia,18693
Oman,Armenia,4156564
Pakistan,Armenia,487700
Peru,Armenia,66375
Philippines,Armenia,7185
Poland,Armenia,13092538
Portugal,Armenia,418285
Palestine,Armenia,63388
Qatar,Armenia,1640056
Romania,Armenia,97835
Russia,Armenia,719718895
Saudi Arabia,Armenia,1568288
Sudan,Armenia,94500
Singapore,Armenia,1115155
Serbia,Armenia,36013
Slovakia,Armenia,398819
Slovenia,Armenia,40356
